fighter_id,name,nickname,wins,losses,ties,height_in,weight_lb,reach_in,stance,age,slpm,str_acc_dec,sapm,str_def_dec,td_avg,td_acc_dec,td_def_dec,sub_avg,hist_fights,hist_wins,hist_losses,hist_win_rate,hist_strike_acc,hist_td_acc,hist_sub_avg,hist_ctrl_avg,hist_finish_rate
93b9496275bbbf80,Seth Petruzelli,The Silverback,14,8,0.0,72.0,205.0,76.0,Orthodox,46.0,2.17,0.41,2.08,0.55,0.46,0.5,0.47,2.3,3.0,0.0,3.0,0.0,0.3938573723890743,0.5,1.0,31.666666666666668,0.5
6751eacd16bd59bc,Josh Culibao,Kuya,11,4,1.0,70.0,145.0,73.0,Orthodox,31.0,3.41,0.44,3.04,0.59,0.0,0.0,0.65,0.3,6.0,3.0,3.0,0.5,0.4289542343305559,0.0,0.3333333333333333,29.666666666666668,0.3333333333333333
a6959da32f0e6b5d,Kyle Bradley,,19,12,,69.0,155.0,71.0,Orthodox,43.0,1.99,0.4,3.45,0.58,0.65,0.5,0.4,0.0,3.0,1.0,2.0,0.3333333333333333,0.3371212121212121,0.5,0.0,3.6666666666666665,1.0
196ed28337adc630,Pat Audinwood,Awesomely Awesome,11,2,1.0,72.0,155.0,,Orthodox,39.0,1.17,0.12,4.31,0.41,0.8,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.375,0.4,0.0,5.0,0.5
99bd87a300079ed9,Erik Koch,Phoenix,16,6,0.0,70.0,170.0,71.0,Southpaw,37.0,2.33,0.42,2.82,0.47,1.02,0.42,0.81,1.0,9.0,4.0,5.0,0.4444444444444444,0.37697620033997503,0.75,0.6666666666666666,77.11111111111111,0.75
10559c53de0b950e,Joey Gambino,The Raging Warrior,9,2,0.0,67.0,145.0,,Orthodox,37.0,2.47,0.35,2.53,0.51,0.0,0.0,0.42,0.8,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,25.0,0.5
9ab9912e0f8fa6d6,Cory Hendricks,,3,1,0.0,75.0,205.0,,Switch,37.0,3.13,0.39,4.07,0.42,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
c5af5750e8bae4f0,Kyle Bochniak,Killer B,8,5,0.0,67.0,145.0,70.0,Orthodox,39.0,2.63,0.31,5.11,0.58,1.14,0.15,0.62,0.0,6.0,2.0,4.0,0.3333333333333333,0.33648860414378706,0.18,0.0,75.66666666666667,0.0
a93f94c923c3a9cb,Christian Leroy Duncan,CLD,13,2,0.0,74.0,185.0,79.0,Switch,30.0,4.6,0.58,2.97,0.51,0.4,0.2,0.69,0.0,7.0,5.0,2.0,0.7142857142857143,0.608592653450075,0.125,0.0,144.71428571428572,0.8
af90b10c785ced3e,Mike Rio,The Wolverine,10,5,0.0,70.0,155.0,70.0,Orthodox,44.0,1.68,0.39,2.99,0.53,2.58,0.27,0.0,1.0,3.0,1.0,2.0,0.3333333333333333,0.46743554952510175,0.23232323232323235,0.3333333333333333,143.0,1.0
4417980b3e798abf,Reuben Duran,,11,7,1.0,67.0,135.0,71.0,Orthodox,42.0,3.19,0.49,2.61,0.5,0.98,0.23,0.25,0.7,3.0,1.0,2.0,0.3333333333333333,0.4422491436575944,0.2,0.6666666666666666,165.66666666666666,1.0
1ccf4e7caff270df,Dan Henderson,Hendo,32,15,0.0,71.0,185.0,74.0,Orthodox,55.0,2.44,0.47,2.7,0.51,1.52,0.52,0.57,0.3,17.0,9.0,8.0,0.5294117647058824,0.5110200991677364,0.4398148148148148,0.29411764705882354,97.0,0.4444444444444444
7b9aa973e5c04624,Eddie Ruiz,,1,1,0.0,67.0,155.0,,Orthodox,58.0,0.2,0.25,1.4,0.47,2.0,0.12,0.0,0.0,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
4d5197f331c47290,Paige VanZant,12 Gauge,8,5,0.0,64.0,115.0,65.0,Orthodox,31.0,3.35,0.52,2.62,0.42,1.27,0.33,0.34,1.0,8.0,5.0,3.0,0.625,0.4944203697105318,0.18979591836734694,0.75,248.25,0.8
